"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"103",1023055126,1114979184,59,72,46.514,54.321,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHERYL CLAYTON","MD","BUTTRAM","DR.","NULL",1388,1386
"104",1023055126,1245368943,83,99,45.525,58.577,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","SUNDARARAJAN VENKATESH","M.D.","NULL","NULL","NULL",1391,1386
"105",1023055126,1093706962,298,444,19.777,44.214,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","GINA CHANDLER","MD","G","NULL","NULL",1386,1386
"106",1023055126,1437206315,445,1059,6.115,24.785,"General Acute Care Hospital","Internal Medicine","Endocrinology, Diabetes & Metabolism","HCA HEALTH SERVICES OF TENNESSEE, INC.","ANNIS MARNEY","MD MSCI","MORISON","NULL","NULL",1386,1386
"107",1023055126,1114961513,700,874,13.666,41.473,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","STEVEN HUMPHREY","MD","S","DR.","NULL",1386,1386
"108",1023055126,1437229572,31,59,29.153,39.485,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","TRILBY WILLIAMS","MD","ELLISTON","NULL","NULL",1386,1386
"109",1023055126,1962497867,540,948,2.794,16.876,"General Acute Care Hospital","Internal Medicine","Gastroenterology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ABU FAKHRUDDIN","MD","S","MR.","NULL",1386,1386
"110",1023055126,1477548154,89,126,36.286,40.996,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","GEORGE HOLMES","MD","L","MR.","III",1386,1386
"111",1023055126,1043294747,36,56,26.125,44.747,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","FRED NORDQUIST","M.D.","A","DR.","NULL",1391,1386
"112",1023055126,1457448557,373,962,3.439,16.919,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","DAVID REYES","MD","P","NULL","NULL",1386,1386
"113",1023055126,1023000999,95,150,34.433,49.326,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CLARA WOMACK","M.D.","R.","NULL","NULL",1386,1386
"114",1023055126,1265426050,210,638,3.024,16.685,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHRYSTAL CLAMP","MD","G","MRS.","NULL",1386,1386
"115",1023055126,1376635052,37,50,42.38,74.623,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JAMES COUCH","M.D.","C","NULL","III",1388,1386
